player_id,stat_type,name,percent_owned,status,ownership,FGM/A,FTM/A,GP,MIN,FGA,FGM,FG%,FTA,FTM,FT%,3PTA,3PTM,3PT%,PTS,OFFREB,DEFREB,REB,AST,ST,BLK,TO,PF,IMPACT_FG,IMPACT_FT
6047,season_2019,Mitchell Robinson,85,INJ,ahmad's Team,253/341,84/148,61,1409,341,253,0.742,148,84,0.568,0,0,0.0,590,186,242,428,36,52,119,37,194,91.28148185483865,-3.3581370967742243
6048,season_2019,Gary Trent Jr.,59,,Josh's Unreal Team,196/441,37/45,61,1331,441,196,0.444,45,37,0.822,268,112,0.418,541,25,75,100,61,48,16,21,90,12.308088709677374,7.918820564516116
6073,season_2019,Duncan Robinson,69,,Check Da Statistacss,323/687,67/72,73,2163,687,323,0.47,72,67,0.931,606,270,0.446,983,10,222,232,102,35,19,70,193,28.681227822580563,21.642485887096758
6114,season_2019,Kendrick Nunn,57,,Ryan's Team,401/914,85/100,67,1960,914,401,0.439,100,85,0.85,391,137,0.35,1024,21,159,180,220,56,15,114,152,23.176344758064424,20.57188508064513
6163,season_2019,Zion Williamson,100,,Mount Zion💪🏾,210/360,114/178,24,667,360,210,0.583,178,114,0.64,14,6,0.429,540,64,86,150,50,16,9,59,42,42.37723790322575,3.650528225806417
6164,season_2019,Ja Morant,99,,The Stephfather,447/937,239/308,67,2074,937,447,0.477,308,239,0.776,179,60,0.335,1193,51,208,259,488,58,18,220,110,42.82097782258053,40.15730040322573
6165,season_2019,RJ Barrett,84,,Ay-ton of drugs,292/727,156/254,56,1705,727,292,0.402,254,156,0.614,197,63,0.32,803,50,229,279,143,55,17,124,122,6.0725403225805845,0.939459677419304
6166,season_2019,De'Andre Hunter,49,INJ,World B. Flat,280/683,110/144,63,2014,683,280,0.41,144,110,0.764,304,108,0.355,778,44,242,286,112,44,18,103,182,8.06298387096767,17.162439516128998
6167,season_2019,Darius Garland,73,GTD,The Stephfather,280/699,63/72,59,1825,699,280,0.401,72,63,0.875,296,105,0.355,728,27,84,111,229,42,4,151,92,5.542983870967683,16.822397177419337
6169,season_2019,Coby White,87,,The Stephfather,312/792,102/129,65,1679,792,312,0.394,129,102,0.791,376,133,0.354,859,28,202,230,175,49,6,109,117,3.992467741935417,18.668262096774164
6172,season_2019,Cam Reddish,35,INJ,ahmad's Team,213/554,101/126,58,1550,554,213,0.384,126,101,0.802,250,83,0.332,610,35,181,216,87,62,28,96,132,0.5956270161289847,19.59623991935481
6174,season_2019,PJ Washington,75,GTD,Josh's Unreal Team,268/589,88/136,58,1758,589,268,0.455,136,88,0.647,230,86,0.374,710,58,258,316,123,51,44,93,158,19.77742741935478,3.4339516129031997
6175,season_2019,Tyler Herro,86,,Josh's Unreal Team,270/631,87/100,55,1503,631,270,0.428,100,87,0.87,298,116,0.389,743,16,208,224,121,34,9,87,76,12.635020161290258,22.795929435483842
6209,season_2019,Brandon Clarke,73,,The Stephfather,296/479,85/112,58,1299,479,296,0.618,112,85,0.759,64,23,0.359,700,92,253,345,81,32,48,55,100,70.09172580645155,12.836885080645136
6211,season_2019,Darius Bazley,49,,Josh's Unreal Team,125/317,43/62,61,1131,317,125,0.394,62,43,0.694,141,49,0.348,342,30,216,246,41,23,41,45,55,1.5995463709677151,3.6989536290322422
6217,season_2019,Keldon Johnson,65,,Keldon's Johnson,53/89,35/44,17,300,89,53,0.596,44,35,0.795,22,13,0.591,154,10,47,57,15,14,2,13,28,11.38420766129031,6.54577620967741
6355,season_2019,Anthony Edwards,73,,Ryan's Team,0/0,0/0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
6356,season_2019,James Wiseman,73,,Ay-ton of drugs,0/0,0/0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
6395,season_2019,LaMelo Ball,93,,JR Dreamers,0/0,0/0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
6404,season_2019,Tyrese Haliburton,79,INJ,Mount Zion💪🏾,0/0,0/0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
